Date;Time;Speed;Running;Battery Voltage;GSM signal strength;Odometer (Server);Satellites;Temperature A;Humidity A
2017-06-06;08:57;;;48;100;;17;15.8;66.3
2017-06-06;09:02;;;48;100;;17;16.5;64.6
2017-06-06;09:07;96;;39;97;;20;17.5;59.3
2017-06-06;09:12;116;;48;77;;20;18.3;54.6
2017-06-06;09:13;109;;;81;;19;18.4;53.4
2017-06-06;09:17;134;;48;65;;;18.9;51.6
2017-06-06;09:22;150;;48;77;;19;19.5;49.9
2017-06-06;09:27;;1;48;84;;19;20;48.7
2017-06-06;09:27;;;;;;;;
2017-06-06;09:32;;;48;84;;15;20.1;49.3
2017-06-06;09:37;;;48;84;;17;20.4;48.8
2017-06-06;09:42;;;48;81;;19;20.8;49.4
2017-06-06;09:47;;;48;84;;18;21.1;50
2017-06-06;09:52;;;48;90;;19;21.6;50.7
2017-06-06;09:57;;;48;90;;21;22;50.1
2017-06-06;10:02;;;48;90;;21;22.5;50.8
2017-06-06;10:07;;;48;90;;21;23;51.5
2017-06-06;10:12;;;48;90;;20;23.4;51.5
2017-06-06;10:13;;;;;;;23.5;
2017-06-06;10:17;;;48;90;;21;23.9;51.6
2017-06-06;10:22;;;48;90;;18;24.3;51
2017-06-06;10:27;;;39;90;;19;24.7;51.7
2017-06-06;10:32;;;39;90;;19;25.1;52.3
2017-06-06;10:37;;;39;87;;20;25.6;51.8
2017-06-06;10:42;;;39;90;;20;26;51.8
2017-06-06;10:47;;;39;90;;21;26.4;51.2
2017-06-06;10:52;;;39;87;;18;26.8;51.3
2017-06-06;10:57;;;39;90;;17;27.3;50.7
2017-06-06;11:02;;;39;90;;19;27.6;50.8
2017-06-06;11:07;;;39;87;;18;28;50.2
2017-06-06;11:12;;;39;90;;15;28.3;50.2
2017-06-06;11:13;;;;;;17;28.4;49
2017-06-06;11:17;;;39;90;;16;28.6;
2017-06-06;11:22;;;39;90;;17;28.9;49
2017-06-06;11:27;;;39;87;;18;29.1;49.1
2017-06-06;11:32;;;39;87;;17;29.5;48.5
2017-06-06;11:37;;;39;90;;20;29.8;48.5
2017-06-06;11:42;;;39;90;;19;30.2;48.6
2017-06-06;11:47;;;39;90;;19;30.6;48
2017-06-06;11:52;;;39;90;;19;31;48
2017-06-06;11:57;;;39;87;;18;31.3;48.1
2017-06-06;12:02;;;39;87;;13;31.7;48.1
2017-06-06;12:07;;;39;81;;14;32.1;47.5
2017-06-06;12:12;;;39;81;;17;32.5;46.9
2017-06-06;12:13;;;;;;;32.6;
2017-06-06;12:17;;;39;81;;17;32.9;46.3
2017-06-06;12:22;;;39;84;;16;33.3;46.4
2017-06-06;12:27;;;39;84;;18;33.6;46.4
2017-06-06;12:32;;;39;87;;19;34;45.8
2017-06-06;12:37;;;39;84;;18;34.4;46.5
2017-06-06;12:42;;;39;87;;18;34.7;45.3
2017-06-06;12:47;;;39;84;;19;35.1;45.3
2017-06-06;12:52;;;39;87;;16;35.3;44.7
2017-06-06;12:57;;;30;84;;16;35.6;44.7
2017-06-06;13:02;;;39;87;;16;35.8;44.1
2017-06-06;13:07;;;39;84;;18;36.1;44.2
2017-06-06;13:12;;;39;84;;19;36.3;43.5
2017-06-06;13:13;;;;;;;36.4;43.6
2017-06-06;13:17;;;39;84;;18;36.6;42.9
2017-06-06;13:22;;;39;81;;17;36.8;43
2017-06-06;13:27;;;39;84;;19;37.1;43
2017-06-06;13:32;;;39;84;;19;37.4;42.4
2017-06-06;13:37;;;39;81;;19;37.7;42.4
2017-06-06;13:42;;;39;84;;18;38;41.8
2017-06-06;13:47;;;39;84;;18;38.3;42.5
2017-06-06;13:52;;;39;87;;18;38.6;41.9
2017-06-06;13:57;;;39;87;;19;38.8;41.9
2017-06-06;14:02;;;39;87;;19;39.1;41.3
2017-06-06;14:07;;;39;87;;19;39.3;40.7
2017-06-06;14:12;;;39;87;;17;39.5;40.7
2017-06-06;14:13;;;;;;;39.6;
2017-06-06;14:17;;;30;84;;16;39.8;40.1
2017-06-06;14:22;;;39;84;;16;40;40.1
2017-06-06;14:27;;;39;84;;16;40.2;39.5
2017-06-06;14:32;;;39;87;;16;40.5;38.9
2017-06-06;14:37;;;39;81;;16;40.6;39.5
2017-06-06;14:42;;;30;81;;17;40.8;38.3
2017-06-06;14:47;;;30;84;;18;41;38.9
2017-06-06;14:52;;;30;84;;17;41;37.6
2017-06-06;14:57;;;30;84;;17;41;37.6
2017-06-06;15:02;;;30;81;;16;41;37.6
2017-06-06;15:07;;;30;81;;15;41;38.3
2017-06-06;15:12;;;30;84;;16;40.9;38.3
2017-06-06;15:13;;;;;;;;37.6
2017-06-06;15:17;;;30;84;;15;40.9;38.3
2017-06-06;15:22;;;30;87;;15;40.9;37.6
2017-06-06;15:27;;;30;87;;15;41;37.6
2017-06-06;15:32;;;30;87;;17;41;38.3
2017-06-06;15:37;;;30;87;;15;41;37.6
2017-06-06;15:42;;;30;87;;16;41;37.6
2017-06-06;15:47;;;30;84;;16;41;37.6
2017-06-06;15:52;;;30;87;;16;40.9;37.6
2017-06-06;15:57;;;30;84;;18;40.8;37.6
2017-06-06;16:02;;;30;87;;18;40.7;37.6
2017-06-06;16:07;;;30;84;;17;40.7;37.6
2017-06-06;16:12;;;30;87;;18;40.6;37.6
2017-06-06;16:13;;;;84;;;;38.3
2017-06-06;16:17;;;30;;;18;40.6;
2017-06-06;16:22;;;;;;;;
2017-06-06;16:22;;1;30;84;;19;40.5;38.2
2017-06-06;16:27;89;;30;35;;20;41.1;19.9
2017-06-06;16:32;134;;30;74;;21;40;16
2017-06-06;16:37;64;;30;52;;18;38.3;15.9
2017-06-06;16:42;28;;30;100;;19;37.5;17.8
2017-06-06;16:47;52;;30;100;;19;37.3;19.1
2017-06-06;16:52;;1;30;97;;16;37.2;18.4
2017-06-06;16:52;;;;;;;;
2017-06-06;16:57;;;30;90;;16;37;19.7
2017-06-06;17:02;;;30;94;;16;36.8;19.7
2017-06-06;17:07;;;30;68;;16;36.4;20.3
2017-06-06;17:12;;;30;87;;16;36;20.9
2017-06-06;17:13;;;;;;;35.8;
2017-06-06;17:17;;;30;90;;15;35.5;22.1
2017-06-06;17:22;;;30;84;;13;35.1;22.1
2017-06-06;17:27;;;30;84;;13;34.7;22.1
2017-06-06;17:32;;;30;84;;13;34.3;22.7
2017-06-06;17:37;;;30;87;;14;33.8;23.3
2017-06-06;17:42;;;30;84;;14;33.3;23.9
2017-06-06;17:47;;;30;84;;13;32.9;24.5
2017-06-06;17:52;;;30;81;;13;32.5;25.7
2017-06-06;17:56;;;30;81;;12;32.1;25.1
2017-06-06;18:02;;;30;87;;11;31.7;26.3
2017-06-06;18:07;;;30;90;;13;31.4;26.3
2017-06-06;18:11;;;30;77;;14;31;26.9
2017-06-06;18:13;;;;84;;12;30.9;
2017-06-06;18:17;;;30;77;;;30.6;26.9
2017-06-06;18:21;;;30;81;;13;30.3;28.1
2017-06-06;18:26;;;30;68;;12;30;28.1
2017-06-06;18:32;;;30;68;;11;29.7;28.7
